ANO,IBGE7,NOME,TTREVA_EF_TOTAL,TTREVA_EM_TOTAL,TXMOINF,TXBRUTAMORT,TXCOBPLP,PINTERDRSAI,REN_PIBPC_D,REN_PVAAGR,REN_PVAIND,POP_TOT
2013,1200138,Bujari,6.90,14.40,4.95,4.78,0.97,2.32,11.18,49.86,2.04,9003
2013,1200179,Capixaba,3.70,6.20,5.18,3.15,0.41,2.65,13.51,37.64,16.62,9836
2013,1200203,Cruzeiro do Sul,3.80,9.90,16.26,3.91,1.27,16.07,10.10,9.55,8.93,80377
2013,1200252,Epitaciolândia,4.00,7.40,10.91,3.66,0.58,5.01,13.94,13.84,4.13,16099
2013,1200302,Feijó,7.30,10.20,37.93,4.47,0.53,3.91,6.90,17.59,3.42,32411
2013,1200328,Jordão,7.40,7.90,18.45,2.10,6.38,3.17,6.82,14.27,2.29,7147
2013,1200336,Mâncio Lima,6.10,8.80,5.01,3.41,0.29,5.73,7.66,22.80,5.46,16410
2013,1200344,Manoel Urbano,5.10,11.70,17.47,3.94,0.37,12.21,7.99,22.93,3.32,8386
2013,1200351,Marechal Thaumaturgo,9.70,12.90,10.31,1.77,0.10,6.73,7.72,27.46,2.72,15857
2013,1200385,Plácido de Castro,3.90,9.90,17.96,3.82,0.70,7.08,9.39,31.50,7.15,17795
2013,1200393,Porto Walter,7.00,10.90,24.39,2.46,0.14,5.32,6.77,21.07,2.26,10143
2013,1200401,Rio Branco,2.50,11.90,13.35,4.73,10.83,0.83,15.95,2.32,13.51,357194
2013,1200427,Rodrigues Alves,5.30,6.80,5.51,2.00,0.13,9.15,7.97,31.09,2.74,15968
2013,1200435,Santa Rosa do Purus,17.30,9.90,53.81,4.84,0.32,17.29,7.03,20.96,2.01,5374
2013,1200450,Senador Guiomard,3.50,9.80,14.12,4.52,1.37,8.95,11.70,31.20,8.69,20799
2013,1200500,Sena Madureira,6.90,12.60,23.23,4.76,0.62,21.13,8.86,27.79,4.17,40311
2013,1200609,Tarauacá,8.20,14.40,20.21,4.15,0.70,7.23,7.47,20.08,3.09,37571
2013,1200708,Xapuri,5.60,9.30,13.61,4.05,0.76,12.90,8.30,33.32,3.13,17021
2013,1200807,Porto Acre,4.40,6.90,13.81,4.30,0.34,1.57,9.01,39.75,3.41,16029
2013,1300029,Alvarães,6.50,18.20,20.23,2.31,0.52,1.88,5.02,24.79,4.52,15166
2013,1300060,Amaturá,3.10,3.30,26.82,2.68,0.24,27.91,4.80,21.72,5.43,10436
2013,1300086,Anamã,3.40,7.50,24.88,2.49,0.30,14.84,6.07,38.88,4.40,11636
2013,1300102,Anori,6.30,8.90,21.05,2.67,0.29,11.11,7.02,51.17,2.88,18351
2013,1300144,Apuí,5.30,10.30,17.94,2.72,0.46,8.73,6.65,38.28,5.63,19860
2013,1300201,Atalaia do Norte,2.60,11.10,45.20,2.68,0.49,2.94,4.67,24.65,3.96,17174
2013,1300300,Autazes,5.70,10.90,11.40,3.29,0.39,3.17,4.66,20.35,4.27,35554
2013,1300409,Barcelos,8.00,8.90,70.83,2.91,0.41,5.60,4.15,13.05,9.18,27110
2013,1300508,Barreirinha,5.60,14.10,16.91,3.87,0.14,6.16,5.54,29.53,3.76,29737
2013,1300607,Benjamin Constant,7.40,21.70,31.85,3.41,0.76,1.22,5.28,27.75,5.87,37564
2013,1300631,Beruri,11.70,6.30,7.01,2.08,0.30,5.68,5.21,19.92,4.29,17332
2013,1300680,Boa Vista do Ramos,4.20,9.40,9.35,1.72,0.14,10.49,4.98,25.77,3.48,16820
2013,1300706,Boca do Acre,7.10,9.00,11.80,3.48,0.53,9.95,6.04,23.06,9.55,32792
2013,1300805,Borba,7.60,7.00,18.44,2.60,0.34,6.22,5.19,31.73,3.90,38073
2013,1300839,Caapiranga,8.50,6.50,9.85,2.17,0.35,9.65,7.76,43.24,4.65,12004
2013,1300904,Canutama,7.90,9.30,10.20,2.58,0.51,5.56,4.62,17.86,6.90,14754
2013,1301001,Carauari,3.70,8.50,25.28,3.87,5.95,5.91,6.55,33.93,8.08,27405
2013,1301100,Careiro,5.50,12.90,2.26,2.85,0.28,4.60,4.58,24.10,4.86,35431
2013,1301159,Careiro da Várzea,2.90,7.60,11.90,1.87,0.25,4.50,7.34,51.96,4.06,26722
2013,1301209,Coari,5.40,9.10,16.00,3.06,1.49,4.33,46.92,2.56,72.47,81325
2013,1301308,Codajás,4.60,8.00,11.79,1.87,0.92,11.02,16.04,77.24,1.86,25696
2013,1301407,Eirunepé,12.80,5.90,30.52,4.32,0.70,3.89,8.60,55.98,2.99,33127
2013,1301506,Envira,5.80,3.20,21.86,2.60,0.17,5.16,5.42,34.21,4.40,18051
2013,1301605,Fonte Boa,5.20,8.80,19.78,2.52,0.19,1.31,5.08,20.22,4.35,21859
2013,1301654,Guajará,7.30,7.40,12.16,2.29,0.19,30.32,5.07,26.25,3.91,15291
2013,1301704,Humaitá,4.50,10.10,16.63,2.95,1.33,2.37,6.25,17.49,5.63,49137
2013,1301803,Ipixuna,7.60,7.80,31.94,2.13,0.31,19.64,3.52,10.19,3.57,25362
2013,1301852,Iranduba,4.90,9.70,12.96,3.71,0.87,7.51,9.05,29.25,17.27,44503
2013,1301902,Itacoatiara,4.40,12.10,12.47,4.12,1.35,3.53,12.79,30.49,13.38,94278
2013,1301951,Itamarati,10.20,7.90,7.69,0.97,0.16,15.31,7.46,40.81,4.94,8232
2013,1302009,Itapiranga,3.70,10.40,5.43,4.22,1.06,4.04,6.57,25.44,6.11,8774
2013,1302108,Japurá,3.80,4.90,23.08,2.47,0.15,0.00,7.01,25.83,4.33,6083
2013,1302207,Juruá,4.90,6.80,4.95,1.05,0.30,11.09,5.70,30.31,4.17,12408
2013,1302306,Jutaí,8.40,11.70,20.67,3.11,0.25,16.68,8.68,49.59,4.54,17376
2013,1302405,Lábrea,7.10,8.90,17.86,3.46,0.40,8.89,7.66,50.47,4.28,41600
2013,1302504,Manacapuru,4.10,11.20,10.50,4.02,1.05,4.69,11.21,51.49,6.75,91795
2013,1302553,Manaquiri,4.80,15.00,8.03,1.88,0.21,21.37,5.75,39.34,4.06,26530
2013,1302603,Manaus,3.80,10.30,15.32,4.72,27.12,2.03,26.95,0.44,42.01,1982177
2013,1302702,Manicoré,5.10,8.60,17.65,3.06,0.31,10.60,6.54,40.26,5.44,51331
2013,1302801,Maraã,6.10,16.60,17.75,1.58,0.11,17.21,4.43,19.87,3.58,18310
2013,1302900,Maués,8.40,12.10,12.91,3.45,0.69,2.25,5.24,26.30,4.85,57663
2013,1303007,Nhamundá,3.40,6.40,19.93,2.78,0.15,5.54,5.45,25.48,4.48,19792
2013,1303106,Nova Olinda do Norte,7.80,11.90,20.70,3.04,0.19,1.96,3.91,12.83,4.38,33829
2013,1303205,Novo Airão,4.60,11.90,0.00,2.63,0.52,5.45,4.64,14.59,5.26,16719
2013,1303304,Novo Aripuanã,3.80,5.70,11.40,2.30,0.30,9.46,5.00,31.66,4.36,23486
2013,1303403,Parintins,2.20,8.30,21.10,3.73,0.83,2.42,7.74,36.49,5.06,109225
