Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Pajeú do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;10;-;12;380;-;-;-;-;-;20;-;51;336;700;-;-;-;-;-;-;-;-;-;-
Palmeira do Piauí (PI);...;-;-;-;3;-;-;-;-;-;-;...;87;-;4;120;-;-;-;-;-;50;-;-;-;10890;-;-;9650;-;-;-;-;-;-;-
Palmeirais (PI);...;-;-;-;18;-;-;-;-;-;-;...;535;-;140;295;-;-;-;-;-;80;10;20;-;2062;-;-;460;-;-;-;-;-;-;-
Paquetá (PI);...;-;-;-;-;-;-;-;-;-;-;...;1425;-;-;800;-;-;-;-;-;280;-;-;-;1000;-;-;-;-;-;-;-;-;-;-
Parnaguá (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;600;-;-;-;-;-;70;-;-;-;1300;-;-;260;-;-;-;-;-;-;-
Parnaíba (PI);...;-;-;-;380;-;-;-;-;-;-;...;122;-;-;193;-;-;-;-;-;171;2;210;-;160;-;-;-;-;-;-;-;-;-;-
Passagem Franca do Piauí (PI);...;-;-;-;3;-;-;-;-;-;-;...;35;-;2;50;-;-;-;-;-;10;-;100;-;95;-;-;-;-;-;-;-;-;-;-
Patos do Piauí (PI);...;-;-;-;7;4;-;-;-;-;-;...;30;-;-;435;-;-;-;-;-;30;11;2;-;525;-;-;-;-;-;-;-;-;-;-
Pau D'Arco do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;123;-;3;200;-;-;-;-;-;11;-;57;-;185;-;-;-;-;-;-;-;-;-;-
Paulistana (PI);...;-;12;-;6;-;-;-;-;-;-;...;-;-;-;720;-;-;-;-;-;-;-;-;-;735;-;-;-;-;-;-;-;-;-;-
Pavussu (PI);...;-;-;-;-;-;-;-;-;-;-;...;31;-;5;630;-;-;-;-;-;30;-;-;-;900;-;-;-;-;-;-;-;-;-;-
Pedro II (PI);...;-;-;-;-;-;-;-;-;-;-;...;200;-;56;2060;-;-;-;-;-;145;-;12;-;1730;-;-;-;-;-;-;-;-;-;-
Pedro Laurentino (PI);...;-;-;-;-;-;-;-;-;-;-;...;4;-;-;250;-;-;-;-;-;5;-;-;-;600;-;-;-;-;-;-;-;-;-;-
Nova Santa Rita (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;450;-;-;-;-;-;12;-;-;-;1460;-;-;-;-;-;-;-;-;-;-
Picos (PI);...;-;-;-;50;3;-;-;-;-;-;...;496;-;-;2000;-;-;-;-;-;100;28;30;-;1960;-;-;-;-;10;-;-;-;-;-
Pimenteiras (PI);...;-;-;-;8;-;-;-;-;-;-;...;280;-;10;2525;-;-;-;-;-;20;-;20;-;2130;-;-;-;-;-;-;-;-;-;-
Pio IX (PI);...;-;-;-;-;-;-;-;-;-;-;...;24750;-;15;10000;-;-;-;-;-;100;-;-;-;6000;-;-;-;-;-;-;-;-;-;-
Piracuruca (PI);...;-;-;-;30;-;-;-;-;-;-;...;1820;-;-;1020;-;-;-;-;-;190;-;-;-;2011;-;-;1364;-;-;-;-;-;-;-
Piripiri (PI);...;-;-;-;10;-;-;-;-;-;-;...;445;-;12;1480;-;-;-;-;-;182;6;20;-;1284;-;-;-;-;-;-;-;-;-;-
Porto (PI);...;-;-;-;-;-;-;-;-;-;-;...;7;-;-;74;-;-;-;-;-;57;-;-;-;252;-;-;-;-;-;-;-;-;-;-
Prata do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;8;-;5;25;-;-;-;-;-;15;-;5;-;25;-;-;-;-;-;-;-;-;-;-
Queimada Nova (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;810;-;-;-;-;-;11;-;-;-;600;-;-;-;-;-;-;-;-;-;-
Redenção do Gurguéia (PI);...;-;-;-;8;-;-;-;-;-;-;...;30;-;-;144;-;-;-;-;-;50;-;40;-;1180;-;-;1630;-;-;-;-;-;-;-
Regeneração (PI);...;-;-;-;15;-;-;-;-;-;-;...;120;-;8;298;-;-;-;-;-;130;-;-;-;2935;-;-;15200;-;-;-;-;-;-;-
Riacho Frio (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;155;-;-;-;-;-;25;-;-;-;330;-;-;-;-;-;-;-;-;-;-
Ribeira do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;235;-;-;-;-;-;10;-;-;-;380;-;-;-;-;-;-;-;-;-;-
Rio Grande do Piauí (PI);...;-;-;-;6;-;-;-;-;-;-;...;110;-;10;305;-;-;-;-;-;25;-;30;-;600;-;-;-;-;-;-;-;-;-;-
Santa Cruz do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;65;-;-;645;-;-;-;-;-;15;-;-;-;950;-;-;-;-;-;-;-;-;-;-
Santa Cruz dos Milagres (PI);...;-;-;-;-;-;-;-;-;-;-;...;7;-;-;50;-;-;-;-;-;8;-;-;-;460;-;-;-;-;-;-;-;-;-;-
Santa Luz (PI);...;-;-;4;60;-;-;-;-;-;-;...;9;-;20;350;-;-;-;-;-;45;-;-;-;800;-;-;-;-;-;-;-;-;-;-
Santana do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;61;-;-;900;-;-;-;-;-;850;-;-;-;1000;-;-;-;-;-;-;-;-;-;-
Santa Rosa do Piauí (PI);...;-;-;-;5;-;-;-;-;-;-;...;13;-;12;323;-;-;-;-;-;18;-;-;-;1246;-;-;-;-;-;-;-;-;-;-
Santo Antônio de Lisboa (PI);...;-;-;-;-;3;-;-;-;-;-;...;1860;-;-;502;-;-;-;-;-;60;-;-;-;200;-;-;-;-;-;-;-;-;-;-
Santo Antônio dos Milagres (PI);...;-;-;-;-;-;-;-;-;-;-;...;5;-;6;90;-;-;-;-;-;6;-;-;-;109;-;-;-;-;-;-;-;-;-;-
Santo Inácio do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;10;-;-;246;-;-;-;-;-;10;-;-;-;420;-;-;-;-;-;-;-;-;-;-
São Braz do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;82;-;-;1360;-;-;-;-;-;263;-;-;-;1610;-;-;-;-;-;-;-;-;-;-
São Félix do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;30;-;4;70;-;-;-;-;-;10;-;-;-;180;-;-;-;-;-;-;-;-;-;-
São Francisco de Assis do Piauí (PI);...;-;16;-;-;-;-;-;-;-;-;...;12;-;-;885;-;-;-;-;-;35;-;-;-;860;-;-;-;-;-;-;-;-;-;-
São Francisco do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;590;-;-;-;-;-;15;-;-;-;683;-;-;-;-;-;-;-;-;-;-
São Gonçalo do Gurguéia (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;200;-;-;-;-;-;50;-;-;-;321;-;-;720;-;-;-;-;-;-;-
São Gonçalo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;315;-;10;136;-;-;-;-;-;40;-;25;-;664;-;-;2400;-;-;-;-;-;-;-
São João da Canabrava (PI);...;-;-;-;-;-;-;-;-;-;-;...;280;-;-;1850;-;-;-;-;-;250;-;-;-;2000;-;-;-;-;-;-;-;-;-;-
São João da Fronteira (PI);...;-;-;-;-;-;-;-;-;-;-;...;145;-;-;527;-;-;-;-;-;60;-;-;-;520;-;-;-;-;-;-;-;-;-;-
São João da Serra (PI);...;-;-;-;-;-;-;-;-;-;-;...;3;-;-;250;-;-;-;-;-;3;-;-;-;382;-;-;-;-;-;-;-;-;-;-
São João da Varjota (PI);...;-;-;-;-;-;-;-;-;-;-;...;121;-;-;502;-;-;-;-;-;40;-;-;-;600;-;-;-;-;-;-;-;-;-;-
São João do Arraial (PI);...;-;-;-;3;-;-;-;-;-;-;...;27;-;10;167;-;-;-;-;-;65;-;-;-;235;-;-;-;-;-;-;-;-;-;-
São João do Piauí (PI);...;-;-;-;21;-;-;-;-;-;-;...;2;-;-;780;-;-;-;-;-;60;-;-;2;840;-;-;-;-;-;-;-;-;-;2
São José do Divino (PI);...;-;-;-;-;-;-;-;-;-;-;...;45;-;-;365;-;-;-;-;-;30;-;-;-;450;-;-;-;-;-;-;-;-;-;-
São José do Peixe (PI);...;-;-;-;-;-;-;-;-;-;-;...;43;-;-;120;-;-;-;-;-;10;-;-;-;1000;-;-;-;-;-;-;-;-;-;-
São José do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;392;-;-;2500;-;-;-;-;-;750;-;-;-;2800;-;-;-;-;-;-;-;-;-;-
São Julião (PI);...;-;-;-;-;-;-;-;-;-;-;...;65;-;-;1260;-;-;-;-;-;35;-;-;-;500;-;-;-;-;-;-;-;-;-;-
São Lourenço do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;855;-;-;-;-;-;52;-;-;-;383;-;-;-;-;-;-;-;-;-;-
São Luis do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;15;-;-;490;-;-;-;-;-;9;-;-;-;1500;-;-;-;-;-;-;-;-;-;-
São Miguel da Baixa Grande (PI);...;-;-;-;-;-;-;-;-;-;-;...;15;-;25;40;-;-;-;-;-;40;-;-;-;1390;-;-;-;-;-;-;-;-;-;-
São Miguel do Fidalgo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;230;-;-;-;-;-;15;-;-;-;890;-;-;-;-;-;-;-;-;-;-
São Miguel do Tapuio (PI);...;-;-;-;8;-;-;-;-;-;-;...;227;-;-;2725;-;-;-;-;-;66;-;-;-;1579;-;-;-;-;-;-;-;-;-;-
São Pedro do Piauí (PI);...;-;-;-;4;-;-;-;-;-;-;...;180;-;80;450;-;-;-;-;-;17;-;15;-;400;-;-;180;-;2;-;-;-;-;-
São Raimundo Nonato (PI);...;-;-;-;-;-;-;-;-;-;-;...;180;-;-;1995;-;-;-;-;-;448;-;-;-;1048;-;-;-;-;-;-;-;-;-;-
Sebastião Barros (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;170;-;-;-;-;-;57;-;-;-;702;-;-;870;-;-;-;-;-;-;-
Sebastião Leal (PI);...;-;5647;-;5;-;-;-;-;-;-;...;-;-;-;320;-;-;-;-;-;21;-;-;-;15570;-;-;30666;2162;-;-;-;-;-;-
Sigefredo Pacheco (PI);...;-;-;-;-;-;-;-;-;-;-;...;119;-;-;1306;-;-;-;-;-;30;-;22;-;1500;-;-;-;-;-;-;-;-;-;-
Simões (PI);...;-;195;-;-;-;-;-;-;-;-;...;5;-;-;504;-;-;-;-;-;3500;-;7;-;1800;-;-;-;-;20;-;-;-;-;-
Simplício Mendes (PI);...;-;-;-;25;-;-;-;-;-;-;...;-;-;-;880;-;-;-;-;-;45;-;-;-;1518;-;-;-;-;-;-;-;-;-;-
Socorro do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;22;-;-;473;-;-;-;-;-;10;-;-;-;1675;-;-;-;-;-;-;-;-;-;-
Sussuapara (PI);...;-;-;-;55;-;-;-;-;-;-;...;15;-;-;110;-;-;-;-;-;25;-;7;-;300;-;-;-;-;-;-;-;-;-;-
Tamboril do Piauí (PI);...;-;-;-;3;-;-;-;-;-;-;...;2;-;-;510;-;-;-;-;-;7;-;-;-;1100;-;-;-;-;-;-;-;-;-;-
Tanque do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;130;-;278;70;-;-;-;-;-;24;-;-;-;329;-;-;1222;-;-;-;-;-;-;-
Teresina (PI);...;-;-;-;30;-;-;-;-;-;-;...;328;-;7;620;-;-;-;-;-;190;30;30;-;1300;-;-;-;-;-;-;-;-;-;-
União (PI);...;-;-;-;5;-;-;-;-;-;-;...;86;-;8;1060;-;-;-;-;-;120;20;50;-;2190;-;-;-;-;-;-;-;-;-;-
Uruçuí (PI);...;-;3046;-;5;-;-;-;-;-;-;...;250;-;18;1595;-;-;-;-;-;85;-;12;-;75898;-;-;167861;6006;-;-;-;-;-;-
Valença do Piauí (PI);...;-;-;-;42;-;-;-;-;-;-;...;845;-;-;363;-;-;-;-;-;236;5;7;-;660;-;-;-;-;-;-;-;-;-;-
Várzea Branca (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1600;-;-;-;-;-;100;-;-;-;1435;-;-;-;-;-;-;-;-;-;-
Várzea Grande (PI);...;-;-;-;25;-;-;-;-;-;-;...;79;-;171;15;-;-;-;-;-;10;-;10;-;250;-;-;-;-;-;-;-;-;-;-
Vera Mendes (PI);...;-;-;-;-;4;-;-;-;-;-;...;40;-;-;1300;-;-;-;-;-;100;-;-;-;1700;-;-;-;-;-;-;-;-;-;-
Vila Nova do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;50;-;-;1040;-;-;-;-;-;50;-;-;-;2000;-;-;-;-;-;-;-;-;-;-
Wall Ferraz (PI);...;-;-;-;-;-;-;-;-;-;-;...;43;-;-;700;-;-;-;-;-;50;-;-;-;600;-;-;-;-;-;-;-;-;-;-
Abaiara (CE);...;-;35;15;37;-;-;-;-;-;-;...;7;-;36;1000;-;-;-;-;-;11;8;-;-;1702;-;-;-;-;2;-;-;-;-;-
Acarape (CE);...;-;-;-;15;-;-;-;-;-;-;...;434;-;70;492;-;-;-;-;-;10;8;-;-;410;-;-;-;-;-;-;-;-;-;-
Acaraú (CE);...;-;-;-;171;32;-;-;-;-;-;...;5516;-;-;3104;-;-;-;-;-;2730;66;351;-;3060;-;-;-;-;-;-;-;-;-;-
Acopiara (CE);...;-;12;-;17;-;-;-;-;-;-;...;3;-;10;6447;-;-;-;-;-;11;8;-;-;12700;-;-;-;-;-;-;-;-;-;-
Aiuaba (CE);...;-;-;-;6;-;-;-;-;-;-;...;12;-;535;2750;-;-;-;-;-;49;-;-;-;4500;-;-;-;-;-;-;-;-;-;-
Alcântaras (CE);...;-;-;-;25;3;-;-;3;3;-;...;722;-;3;1020;-;-;-;-;-;33;30;-;-;840;-;-;-;-;-;-;-;-;-;-
Altaneira (CE);...;-;-;2;4;-;-;-;-;-;-;...;-;-;120;155;-;-;-;-;-;14;4;-;-;1100;-;-;-;-;3;-;-;-;-;-
Alto Santo (CE);...;-;-;-;169;27;-;-;-;-;-;...;6027;-;-;705;-;-;-;-;-;235;2;15;-;455;-;-;-;-;-;-;-;-;-;-
Amontada (CE);...;-;-;-;11;22;-;-;-;-;-;...;7031;-;-;4440;-;-;-;-;-;4070;8;-;-;4400;-;-;-;-;-;-;-;-;-;-
Antonina do Norte (CE);...;-;-;-;-;-;-;-;-;-;-;...;-;-;70;330;-;-;-;-;-;-;1;-;-;835;-;-;-;-;-;-;-;-;-;-
Apuiarés (CE);...;-;12;-;29;-;-;-;-;-;-;...;51;-;-;2013;-;-;-;-;-;37;4;-;-;2898;-;-;-;-;-;-;-;-;-;-
Aracati (CE);...;-;-;-;80;22;-;-;-;-;-;...;9077;-;-;1005;-;-;-;-;-;430;52;90;930;1080;-;-;-;-;10;-;-;-;-;-
Aracoiaba (CE);...;-;-;-;32;-;-;-;-;-;-;...;4207;-;-;3082;-;-;-;-;-;118;28;-;-;3136;-;-;-;-;3;-;-;-;-;-
Ararendá (CE);...;-;-;-;14;-;-;-;-;-;-;...;18;-;-;270;-;-;-;-;-;7;3;-;-;1950;-;-;-;-;-;-;-;-;-;-
Araripe (CE);...;-;-;-;2;1;-;-;-;-;-;...;25;-;200;900;-;-;-;-;-;5030;7;-;-;4000;-;-;-;-;5;-;-;-;-;-
Aratuba (CE);...;-;-;-;1090;-;-;-;27;27;-;...;16;-;855;1074;-;-;-;-;-;-;10;-;-;1226;-;-;-;-;125;-;-;-;-;-
Arneiroz (CE);...;-;-;-;-;-;-;-;-;-;-;...;-;-;200;1450;-;-;-;-;-;6;1;-;-;2178;-;-;-;-;-;-;-;-;-;-
Assaré (CE);...;-;-;9;7;-;-;-;-;-;-;...;9;-;870;1509;-;-;-;-;-;12;4;-;-;6050;-;-;-;-;5;-;-;-;-;-
Aurora (CE);...;-;25;-;14;-;-;-;-;-;-;...;2;-;70;1257;-;-;-;-;-;6;6;-;-;2410;-;-;-;-;-;-;-;-;-;-
Baixio (CE);...;-;-;-;2;-;-;-;-;-;-;...;-;-;-;160;-;-;-;-;-;-;1;-;-;800;-;-;-;-;-;-;-;-;-;-
Banabuiú (CE);...;-;-;-;7;5;-;-;-;-;-;...;55;-;-;1350;-;-;-;-;-;18;-;-;-;1500;-;-;-;-;3;-;-;-;-;-
Barbalha (CE);...;-;10;4;756;-;-;-;-;-;-;...;161;-;16;433;-;-;-;-;-;138;53;3;-;580;-;-;-;-;2;-;-;-;-;11
Barreira (CE);...;-;-;-;8;-;-;-;-;-;-;...;10585;-;5;1280;-;-;-;-;-;60;8;-;-;780;-;-;-;-;-;-;-;-;-;-
Barro (CE);...;-;-;-;67;5;-;-;-;-;-;...;2;-;121;1373;-;-;-;-;-;5;4;-;-;3300;-;-;-;-;18;-;-;-;-;2
Barroquinha (CE);...;-;-;-;-;-;-;-;-;-;-;...;749;-;-;500;-;-;-;-;-;507;4;-;-;500;-;-;-;-;-;-;-;-;-;-
Baturité (CE);...;-;-;-;720;-;-;-;10;10;-;...;108;-;585;995;-;-;-;-;-;27;76;-;-;3745;-;-;-;-;-;-;-;-;10;-
Beberibe (CE);...;-;-;-;4;14;-;-;-;-;-;...;27109;-;-;1100;-;-;-;-;-;876;289;4;-;980;-;-;-;-;-;-;-;-;-;-
Bela Cruz (CE);...;-;-;-;14;1;-;-;-;-;-;...;29992;-;-;2607;-;-;-;-;-;2376;58;10;10;2580;-;-;-;-;1;-;-;-;8;-
Boa Viagem (CE);...;-;75;-;7;30;-;-;-;-;-;...;2;-;200;7417;-;-;-;-;45;-;10;30;-;11486;-;-;-;-;-;-;-;-;-;-
Brejo Santo (CE);...;-;45;16;64;-;-;-;-;-;-;...;189;-;21;1239;-;-;-;-;-;54;73;20;-;5000;-;-;-;-;11;-;-;-;-;-
Camocim (CE);...;-;-;-;13;-;-;-;-;-;-;...;3746;-;-;3390;-;-;-;-;-;3522;20;6;-;3390;-;-;-;-;-;-;-;-;-;-
Campos Sales (CE);...;-;-;5;7;-;-;-;-;-;-;...;10;-;1350;1800;-;-;-;-;-;44;1;-;-;4250;-;-;-;-;8;-;-;-;-;-
Canindé (CE);...;-;10;-;12;42;-;-;-;-;-;...;56;-;90;11050;-;-;-;-;20;39;50;-;-;12410;-;-;-;-;2;-;-;-;-;-
Capistrano (CE);...;-;-;-;932;-;-;-;-;-;-;...;139;-;320;1092;-;-;-;-;-;14;-;4;-;3360;-;-;-;-;10;-;-;-;-;-
Caridade (CE);...;-;-;-;2;25;-;-;-;-;-;...;5;-;55;6700;-;-;-;-;-;-;8;11;-;9000;-;-;-;-;-;-;-;-;-;-
Cariré (CE);...;-;-;-;168;-;-;-;-;-;-;...;20;-;4;3620;-;-;-;-;-;14;3;-;-;4036;-;-;-;-;-;-;-;-;-;-
Caririaçu (CE);...;-;-;18;9;2;-;-;-;-;-;...;4;-;1100;1175;-;-;-;-;-;21;20;-;-;1322;-;-;-;-;4;-;-;-;-;-
Cariús (CE);...;-;-;3;120;4;-;-;-;-;-;...;-;-;42;304;-;-;-;-;-;5;50;8;-;570;-;-;-;-;9;-;-;-;-;-
Carnaubal (CE);...;-;-;-;15;140;-;-;-;-;-;...;102;-;-;1150;-;-;-;-;-;165;15;4;-;1200;-;-;-;-;80;-;-;-;-;-
Cascavel (CE);...;-;-;-;24;48;-;-;-;-;-;...;9428;-;-;1095;-;-;-;-;-;460;270;-;-;610;-;-;-;-;-;-;-;-;-;-
Catarina (CE);...;-;-;-;3;-;-;-;-;-;-;...;-;-;30;700;-;-;-;-;-;4;-;-;-;3000;-;-;-;-;4;-;-;-;-;-
Catunda (CE);...;-;-;-;7;-;-;-;-;-;-;...;7;-;20;2000;-;-;-;-;-;4;2;-;-;3000;-;-;-;-;-;-;-;-;-;-
Caucaia (CE);...;-;-;-;300;-;-;-;-;-;-;...;1365;-;-;2410;-;-;-;-;-;489;125;-;-;2340;-;-;-;-;-;-;-;-;-;-
Cedro (CE);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1123;-;-;-;-;-;5;3;-;-;2021;-;-;-;-;1;-;-;-;-;-
Chaval (CE);...;-;-;-;-;-;-;-;-;-;-;...;638;-;-;235;-;-;-;-;-;244;-;-;-;235;-;-;-;-;-;-;-;-;-;-
Choró (CE);...;-;5;-;2;-;-;-;-;-;-;...;6;-;10;1300;-;-;-;-;-;7;-;-;-;2400;-;-;-;-;1;-;-;-;-;-
Chorozinho (CE);...;-;-;-;-;-;-;-;-;-;-;...;13216;-;4;400;-;-;-;-;-;88;-;-;-;800;-;-;-;-;-;-;-;-;-;-
Coreaú (CE);...;-;-;-;5;-;-;-;-;-;-;...;9;-;-;1485;-;-;-;-;-;18;1;-;-;1720;-;-;-;-;-;-;-;-;-;-
Crateús (CE);...;-;40;-;4;-;-;-;-;-;-;...;115;-;-;5050;-;-;-;-;-;40;8;15;-;18030;-;-;-;-;-;-;-;-;-;-
Crato (CE);...;-;-;105;168;13;-;-;-;-;-;...;40;-;420;1300;-;-;-;-;-;107;45;-;-;1700;-;-;-;-;30;-;-;-;-;-
Croatá (CE);...;-;-;-;107;215;-;-;-;-;-;...;107;-;4;2250;-;-;-;-;-;545;7;100;-;2400;-;-;-;-;72;-;-;-;4;-
Cruz (CE);...;-;-;-;4;5;-;-;-;-;-;...;12059;-;-;1618;-;-;-;-;-;1650;7;-;-;1600;-;-;-;-;-;-;-;-;-;-
Deputado Irapuan Pinheiro (CE);...;-;-;-;5;3;-;-;-;-;-;...;-;-;6;1800;-;-;-;-;-;4;3;18;-;4400;-;-;-;-;11;-;-;-;-;-
Ereré (CE);...;-;-;-;1;3;-;-;-;-;-;...;6;-;-;352;-;-;-;-;-;3;2;-;-;1800;-;-;-;-;-;-;-;-;-;-
Farias Brito (CE);...;-;-;70;44;-;-;-;-;-;-;...;-;-;1900;1658;-;-;-;-;-;29;10;-;-;2200;-;-;-;-;33;-;-;-;-;-
Forquilha (CE);...;-;-;-;5;2;-;-;-;-;-;...;9;-;-;2530;-;-;-;-;-;8;3;7;-;2830;-;-;-;-;-;-;-;-;-;-
Fortim (CE);...;-;-;-;-;5;-;-;-;-;-;...;6164;-;-;374;-;-;-;-;-;209;-;12;17;325;-;-;-;-;-;-;-;-;-;-
Frecheirinha (CE);...;-;-;2;33;-;-;-;-;-;-;...;31;-;15;1100;-;-;-;-;-;20;21;5;-;1420;-;-;-;-;10;-;-;-;2;-
General Sampaio (CE);...;-;-;-;5;15;-;-;-;-;-;...;14;-;4;760;-;-;-;-;-;10;3;-;-;1160;-;-;-;-;-;-;-;-;-;-
Graça (CE);...;-;-;-;25;2;-;-;-;-;-;...;185;-;7;1850;-;-;-;-;-;130;50;-;-;1950;-;-;-;-;-;-;-;-;-;-
Granja (CE);...;-;-;-;8;-;-;-;-;-;-;...;4852;-;2;4045;-;-;-;-;-;3593;22;-;-;4045;-;-;-;-;-;-;-;-;-;-
Granjeiro (CE);...;-;-;3;10;2;-;-;-;-;-;...;-;-;130;360;-;-;-;-;-;12;2;2;-;650;-;-;-;-;2;-;-;-;5;-
Groaíras (CE);...;-;-;-;-;-;-;-;-;-;-;...;4;-;-;700;-;-;-;-;-;5;-;13;-;950;-;-;-;-;-;-;-;-;-;-
Guaiúba (CE);...;-;-;-;75;-;-;-;-;-;-;...;5;-;40;150;-;-;-;-;-;15;15;10;-;150;-;-;-;-;2;-;-;-;-;-
Guaraciaba do Norte (CE);...;-;-;-;800;1050;-;-;10;10;-;...;180;-;-;3955;-;-;-;-;-;1270;50;47;-;2760;-;-;-;-;600;-;-;-;6;-
Guaramiranga (CE);...;-;-;-;215;-;-;-;143;143;-;...;-;-;43;56;-;-;-;-;-;4;10;-;-;95;-;-;-;-;5;-;-;-;-;-
Hidrolândia (CE);...;-;-;-;10;5;-;-;-;-;-;...;24;-;-;3000;-;-;-;-;-;8;10;120;-;3900;-;-;-;-;2;-;-;-;-;-
Horizonte (CE);...;-;-;-;-;7;-;-;-;-;-;...;1816;-;-;380;-;-;-;-;-;255;4;-;-;95;-;-;-;-;-;-;-;-;-;-
Ibaretama (CE);...;-;3;-;-;-;-;-;-;-;-;...;603;-;-;1400;-;-;-;-;-;12;2;-;-;2100;-;-;-;-;-;-;-;-;-;-
Ibiapina (CE);...;-;-;2;300;418;-;-;30;30;-;...;48;-;35;1940;-;-;-;-;-;360;20;15;-;2000;-;-;1200;-;128;-;-;-;10;-
Ibicuitinga (CE);...;-;70;-;-;-;-;-;-;-;-;...;320;-;-;800;-;-;-;-;-;32;1;-;-;4100;-;-;-;-;-;-;-;-;-;-
Icapuí (CE);...;-;-;-;12;-;-;-;-;-;-;...;7384;-;-;280;-;-;-;-;-;65;9;60;887;240;-;-;-;-;-;-;-;-;-;-
Icó (CE);...;-;10;4;100;4;-;-;-;-;-;...;6;-;50;3260;-;-;-;-;-;5;6;4;-;5200;-;-;-;-;4;-;-;-;-;-
Iguatu (CE);...;-;8;-;500;15;-;-;-;-;-;...;5;-;21;2506;-;-;-;-;-;37;5;3;-;8000;-;-;-;-;15;-;-;-;-;-
Independência (CE);...;-;20;-;1;-;-;-;-;-;-;...;-;-;-;5310;-;-;-;-;-;5;1;-;-;9650;-;-;-;-;-;-;-;-;-;-
Ipaporanga (CE);...;-;-;-;7;-;-;-;-;-;-;...;4;-;-;1500;-;-;-;-;-;30;1;-;-;4350;-;-;-;-;-;-;-;-;-;-
Ipaumirim (CE);...;-;-;-;4;-;-;-;-;-;-;...;-;-;3;384;-;-;-;-;-;4;4;-;-;1600;-;-;-;-;-;-;-;-;-;-
Ipu (CE);...;-;-;-;348;350;-;-;5;5;-;...;451;-;17;6450;-;-;-;-;-;435;120;39;-;9000;-;7;-;-;100;-;-;-;12;-
Ipueiras (CE);...;-;-;-;80;36;-;-;10;10;-;...;350;-;15;2052;-;-;-;-;-;160;67;27;-;4000;-;-;-;-;25;-;-;-;5;-
Iracema (CE);...;-;4;-;2;-;-;-;-;-;-;...;17;-;10;608;-;-;-;-;-;7;4;-;-;900;-;-;-;-;-;-;-;-;-;-
Irauçuba (CE);...;-;20;-;5;-;-;-;-;-;-;...;10;-;-;2400;-;-;-;-;-;4;2;3;3;2700;-;-;-;-;-;-;-;-;-;-
Itaiçaba (CE);...;-;-;-;6;-;-;-;-;-;-;...;193;-;-;270;-;-;-;-;-;390;-;-;-;240;-;-;-;-;-;-;-;-;-;-
Itapajé (CE);...;-;15;-;4719;-;-;-;-;-;-;...;164;-;32;2014;-;-;-;-;-;44;27;-;-;2045;-;-;-;-;-;-;-;-;-;-
Itapipoca (CE);...;-;-;-;2752;8;-;-;-;-;-;...;16166;-;60;6143;-;-;-;-;-;2900;114;-;-;6105;-;-;-;-;-;-;-;-;-;-
Itapiúna (CE);...;-;-;-;-;-;-;-;-;-;-;...;383;-;30;2030;-;-;-;-;-;59;-;2;-;2940;-;-;-;-;30;-;-;-;-;-
Itarema (CE);...;-;-;-;35;25;-;-;-;-;-;...;12568;-;-;2590;-;-;-;-;-;2054;28;12;-;2550;-;-;-;-;-;-;-;-;-;-
