Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Teófilo Otoni (MG);...;-;-;-;14000;10000;-;-;818;818;-;...;-;-;-;728;-;-;-;-;-;10000;8000;-;-;3000;-;2000;-;-;50000;-;-;-;1333;-
Tumiritinga (MG);...;-;-;-;6500;-;-;-;-;-;-;...;-;-;-;625;-;-;-;-;-;9000;-;-;-;3661;-;2000;-;-;-;-;-;-;-;-
Turmalina (MG);...;-;-;833;9792;-;-;-;1205;1205;-;...;-;-;-;771;-;-;-;-;-;9667;-;11000;-;1600;-;-;-;-;60000;-;-;-;1000;6250
Ubaí (MG);...;-;-;1000;-;-;-;-;-;-;-;...;-;-;-;376;-;-;-;-;-;9667;-;12500;-;1200;-;-;-;1200;-;-;-;-;-;-
Ubaporanga (MG);...;-;-;1000;16000;14000;-;-;1200;1200;-;...;-;-;-;600;-;-;-;-;-;12000;16000;-;-;3200;-;-;-;-;65000;-;-;-;-;-
Umburatiba (MG);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;500;-;-;-;-;-;10000;-;-;-;1200;-;-;-;-;-;-;-;-;-;-
Uruana de Minas (MG);...;-;-;-;11000;-;-;-;-;-;-;...;-;-;-;1374;-;-;-;-;-;12400;-;-;-;5611;-;-;3300;-;-;-;-;-;-;-
Urucuia (MG);...;-;-;-;15000;-;-;-;1919;1919;-;...;-;-;-;2040;-;-;-;-;-;13251;-;15000;-;3000;-;-;3480;-;-;-;-;-;-;-
Vargem Grande do Rio Pardo (MG);...;-;-;-;11000;-;-;-;1800;1800;-;...;-;-;-;535;-;-;-;-;-;10000;22500;22000;-;989;-;-;-;-;-;-;-;-;-;-
Várzea da Palma (MG);...;-;4000;-;30000;-;-;-;2520;2520;-;...;-;-;-;1039;-;-;-;-;-;12000;18000;29000;-;7711;-;-;3900;3900;58000;-;-;-;-;28000
Varzelândia (MG);...;-;-;-;18750;-;-;-;-;-;-;...;-;-;-;682;-;-;-;-;-;10400;22000;-;-;1500;-;-;-;-;-;-;-;-;-;-
Verdelândia (MG);...;-;-;-;18000;-;-;-;-;-;-;...;-;-;-;800;-;-;-;-;-;10893;18000;24000;-;2182;-;-;4500;1800;-;-;-;-;-;-
Mathias Lobato (MG);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1000;-;-;-;-;-;7200;-;-;-;5000;-;-;-;-;-;-;-;-;-;-
Virgem da Lapa (MG);...;-;-;500;7000;11000;-;-;-;-;-;...;-;-;-;443;-;-;-;-;-;10000;10000;7000;-;991;-;-;-;-;-;-;-;-;-;-
Virginópolis (MG);...;-;-;-;15000;-;-;-;1315;1315;-;...;-;-;-;646;-;-;-;-;-;13500;-;-;-;3000;-;-;-;-;67500;-;-;-;-;-
Virgolândia (MG);...;-;-;1000;7000;-;-;-;2667;1533;3611;...;-;-;-;560;-;-;-;-;-;11000;-;-;-;2877;-;-;-;-;-;-;-;-;-;-
Baixo Guandu (ES);...;-;-;-;20000;-;-;1222;1964;933;2700;...;-;-;-;1825;-;-;-;-;-;16649;10000;-;-;2500;-;3000;-;-;65000;-;-;-;-;-
Ecoporanga (ES);...;-;-;-;13000;14000;-;900;2357;900;2456;...;-;-;-;1857;-;-;-;-;-;16667;10000;25000;-;2571;-;3000;-;-;-;-;-;-;-;14000
Itaguaçu (ES);...;-;-;-;39856;-;-;867;3041;2100;3261;...;-;-;-;1083;-;-;-;-;-;20000;8325;-;-;3500;-;3750;-;-;60000;-;-;-;-;-
Itarana (ES);...;-;-;-;16717;-;26000;583;2028;1737;2700;...;-;-;-;940;-;-;-;-;-;18000;11500;-;-;3488;-;3500;-;-;67000;-;-;-;-;20000
Mantenópolis (ES);...;-;-;-;8000;-;-;-;1747;1480;3416;...;-;-;-;929;-;-;-;-;-;-;10000;25000;-;2511;-;3000;-;-;30000;-;-;-;-;10000
Montanha (ES);...;-;-;-;20400;-;-;-;2820;-;2820;...;-;-;-;1100;-;-;-;-;-;15456;-;26000;-;5092;-;3200;-;-;58000;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
